Product/Service Name,Quantity on hand,Item type,Category,SKU,Price,Cost,Income Account,Expense Account,Inventory asset account,Sales Description,Purchase Description,Reorder Point,Preferred Supplier
AIR CLEANER MAZ ZJ01-13-Z40LC,5,Inventory,,,500,344.83,Sales of Product Income,Cost of sales,Inventory Asset,,,,
AIR CLEANER MITSU GALANT MR266849,2,Inventory,,,350,301.72,Sales of Product Income,Cost of sales,Inventory Asset,,,,
AIR CLEANER MITSUBISHI ME033717,1,Inventory,,,1680,1403.51,Sales of Product Income,Cost of sales,Inventory Asset,,,,
AIR CLEANER MR993226,4,Inventory,,,450,431.03,Sales of Product Income,Cost of sales,Inventory Asset,,,,
AIR CLEANER NISSAN MURANO 16546-JA00A,0,Inventory,,,1350,258.62,Sales of Product Income,Cost of sales,Inventory Asset,,,,
AIR CLEANER OH20/17801-20040,1,Inventory,,,500,344.83,Sales of Product Income,Cost of sales,Inventory Asset,,,,
AIR CLEANER ORG 17801-31110,0,Inventory,,,1000,560.35,Sales of Product Income,Cost of sales,Inventory Asset,,,,
AIR CLEANER ORG 17801-31120,0,Inventory,,,1000,732.76,Sales of Product Income,Cost of sales,Inventory Asset,,,,
AIR CLEANER ORG 17801-61030,2,Inventory,,,2050,1379.31,Sales of Product Income,Cost of sales,Inventory Asset,,,,
AIR CLEANER OUTLANDER 1500A190,1,Inventory,,,750,275.86,Sales of Product Income,Cost of sales,Inventory Asset,,,,
AIR CLEANER PAJ MR404847,1,Inventory,,,650,431.03,Sales of Product Income,Cost of sales,Inventory Asset,,,,
AIR CLEANER RNA-000,2,Inventory,,,500,215.52,Sales of Product Income,Cost of sales,Inventory Asset,,,,
AIR FILTER 13780-57B00,1,Inventory,,,550,301.72,Sales of Product Income,Cost of sales,Inventory Asset,,,,
AIR FILTER 16546-EB300,2,Inventory,,,850,301.72,Sales of Product Income,Cost of sales,Inventory Asset,,,,
AIR FILTER 17220-RZA-000,2,Inventory,,,500,189.66,Sales of Product Income,Cost of sales,Inventory Asset,,,,
AIR FILTER 17801-31100,3,Inventory,,,500,215.52,Sales of Product Income,Cost of sales,Inventory Asset,,,,
AIR FILTER 17801-31140,5,Inventory,,,850,431.03,Sales of Product Income,Cost of sales,Inventory Asset,,,,
AIR FILTER 17801-67060,0,Inventory,,,500,344.83,Sales of Product Income,Cost of sales,Inventory Asset,,,,
AIR FILTER 17801-74020,3,Inventory,,,400,258.62,Sales of Product Income,Cost of sales,Inventory Asset,,,,
AIR FILTER SUBARU 16546-AA090,4,Inventory,,,650,228.45,Sales of Product Income,Cost of sales,Inventory Asset,,,,
ASSORTED DASHBOARD CLEANER,6,Inventory,,,450,387.93,Sales of Product Income,Cost of sales,Inventory Asset,,,0,
BATTERY ACID -T1,0,Inventory,,,225,120,Sales of Product Income,Cost of sales,Inventory Asset,,,,
BODY WASH SALOON CAR,0,Service,,,200,,Services:Car wash Income,Purchases,,,,,
BRAK PAD NISSAN MURANO KD1726,1,Inventory,,,2450,1465.52,Sales of Product Income,Cost of sales,Inventory Asset,,,,
BRAKE FLUID DOT 4 -  T1/2,21,Inventory,,,595,427.75,Sales of Product Income,Cost of sales,Inventory Asset,,,,
BRAKE FLUID DOT 4- 200ML,32,Inventory,,,345,235.43,Sales of Product Income,Cost of sales,Inventory Asset,,,,
BRAKE PAD HONDA CRV FRONT AP100,1,Inventory,,,1950,1250,Sales of Product Income,Cost of sales,Inventory Asset,,,,
BRAKE PAD HONDA CRV KD 1508,1,Inventory,,,2350,1250,Sales of Product Income,Cost of sales,Inventory Asset,,,,
BRAKE PAD HONDA CRV KD 1702,1,Inventory,,,1450,862.07,Sales of Product Income,Cost of sales,Inventory Asset,,,,
